Dystans do przejscia: 50, dlugosc kroku: 1
0: (x,y) = (0, 0)
1: (x,y) = (0.834223, 0.00962421)
2: (x,y) = (1.83281, 0.00109446)
3: (x,y) = (1.67859, -0.0172254)
4: (x,y) = (2.57846, 0.00731187)
5: (x,y) = (2.68004, 0.0174906)
6: (x,y) = (3.1122, 0.0160447)
7: (x,y) = (2.26836, -0.00908538)
8: (x,y) = (1.87647, 0.0158987)
9: (x,y) = (1.6269, 0.0171785)
10: (x,y) = (0.934007, 0.0128843)
11: (x,y) = (0.00554706, -0.00625784)
12: (x,y) = (0.930683, 0.00651667)
13: (x,y) = (1.75501, 0.00999418)
14: (x,y) = (1.70635, 0.017607)
15: (x,y) = (2.34652, -0.0131009)
16: (x,y) = (1.42478, -0.00699721)
17: (x,y) = (0.438877, 0.00279827)
18: (x,y) = (-0.166675, 0.0139383)
19: (x,y) = (0.765037, 0.00658229)
20: (x,y) = (0.324921, -0.0155571)
21: (x,y) = (-0.301524, -0.0138758)
22: (x,y) = (-1.27098, -0.00452314)
23: (x,y) = (-1.58, 0.0165201)
24: (x,y) = (-2.54725, 0.00471838)
25: (x,y) = (-2.43683, -0.0172642)
26: (x,y) = (-3.01383, 0.0139535)
27: (x,y) = (-2.0887, 0.00686943)
28: (x,y) = (-1.34062, -0.0114623)
29: (x,y) = (-1.91762, 0.0140548)
30: (x,y) = (-2.55777, -0.0131633)
31: (x,y) = (-2.2741, -0.0169661)
32: (x,y) = (-3.19239, 0.00661408)
33: (x,y) = (-2.86661, 0.0166166)
34: (x,y) = (-2.16736, -0.0121869)
35: (x,y) = (-1.1979, -0.00449316)
36: (x,y) = (-1.29951, 0.0172845)
37: (x,y) = (-2.04757, -0.0112809)
38: (x,y) = (-1.0523, -0.00189303)
39: (x,y) = (-0.156318, -0.0077838)
40: (x,y) = (-0.42299, 0.0166854)
41: (x,y) = (-0.839137, 0.0161614)
42: (x,y) = (-1.80174, 0.00501027)
43: (x,y) = (-1.31456, -0.0151545)
44: (x,y) = (-2.12875, 0.00986865)
45: (x,y) = (-1.4295, -0.0123047)
46: (x,y) = (-0.641788, -0.0109667)
47: (x,y) = (0.250216, 0.00769793)
48: (x,y) = (1.2346, -0.00293823)
49: (x,y) = (1.17713, -0.0174757)
50: (x,y) = (1.96484, -0.0110569)
51: (x,y) = (2.89655, 0.00614605)
52: (x,y) = (3.63277, -0.0117042)
53: (x,y) = (4.62885, 0.00133857)
54: (x,y) = (3.99551, 0.01353)
55: (x,y) = (3.21328, 0.0111093)
56: (x,y) = (2.69551, -0.0147377)
57: (x,y) = (3.63949, 0.0055022)
58: (x,y) = (2.6495, 0.00255904)
59: (x,y) = (3.3295, 0.0128416)
60: (x,y) = (2.42581, -0.00724907)
61: (x,y) = (1.45217, -0.0041073)
62: (x,y) = (1.76959, -0.0166223)
63: (x,y) = (2.76956, -0.000444073)
64: (x,y) = (2.88874, 0.0173211)
65: (x,y) = (2.03553, -0.00880092)
66: (x,y) = (1.93392, 0.0172093)
67: (x,y) = (2.78714, -0.00880242)
68: (x,y) = (2.38715, -0.0161499)
69: (x,y) = (1.47602, 0.00691095)
70: (x,y) = (2.43109, 0.00529323)
71: (x,y) = (3.35285, -0.00667568)
72: (x,y) = (2.95286, -0.0161128)
73: (x,y) = (3.40091, 0.0153222)
74: (x,y) = (3.05014, -0.0160769)
75: (x,y) = (3.59044, 0.0144058)
76: (x,y) = (4.58044, -0.00221106)
77: (x,y) = (4.73469, -0.017283)
78: (x,y) = (4.46802, 0.0165196)
79: (x,y) = (3.5156, -0.00503163)
80: (x,y) = (3.92368, 0.0158461)
81: (x,y) = (4.786, -0.00856118)
82: (x,y) = (4.21628, -0.0144931)
83: (x,y) = (5.0456, -0.0100052)
84: (x,y) = (4.74504, -0.0168209)
85: (x,y) = (5.23991, 0.0148727)
86: (x,y) = (5.06823, -0.0169346)
87: (x,y) = (5.33487, 0.0165258)
88: (x,y) = (5.90462, -0.014055)
89: (x,y) = (6.70839, 0.0101382)
90: (x,y) = (7.40127, 0.0127618)
91: (x,y) = (7.75207, -0.0161214)
92: (x,y) = (7.94985, 0.0168271)
93: (x,y) = (7.14606, 0.0106768)
94: (x,y) = (6.97437, -0.0170078)
95: (x,y) = (7.19814, -0.0173076)
96: (x,y) = (6.29445, -0.00777527)
97: (x,y) = (5.8783, 0.0157345)
98: (x,y) = (6.36549, -0.0149673)
99: (x,y) = (5.38111, -0.00333433)
100: (x,y) = (5.80529, -0.0158635)
101: (x,y) = (4.90541, 0.00733517)
